monument,location,Description,start_from,end_at,tickets_price
New Kingdom Cemetery,Saqqara,"The vast necropolis of Saqqara, which served as the cemetery of ancient Memphis, contains tombs from almost every period of Egyptian history. The New Kingdom (c.1550–1069 BC) cemetery south of the causeway of Unas is where several important officials of the Eighteenth to Twentieth Dynasties were buried. Among them are Ptahemwia, the “Royal Butler, Clean of Hands” under Kings Akhenaten (c.1353–1336 BC) and Tutankhamun (c.1336–1327 BC), Maya, the overseer of the treasury under Tutankhamun, and Tia, the overseer of the treasury during the reign of Ramses II (c.1279–1213 BC). This is also the site of the tomb Horemheb was planning for himself before he became king.
Like most private tombs, the tombs of this New Kingdom cemetery consist of two parts: a sealed underground section that includes the burial chamber, and the above-ground, accessible, tomb chapel, where the cult of the deceased was practiced. What sets the tombs of this cemetery apart, however, is the fact that they are neither mastabas nor rock-cut, but free-standing structures known as temple-tombs. The larger tombs, like the great state temples of the period (hence their name), were entered through a pylon gateway that led into an open-air courtyard that preceded the tomb chapel. The central chapel would have been surmounted by a small pyramid, a symbol of rebirth. A shaft in the forecourt led to the underground burial chamber.
This section of Saqqara was explored by tomb robbers and art dealers in the 19th century. Many statues and reliefs were taken without being recorded, and sold to museums and collectors abroad. A 19th century map of the area made by Prussian Egyptologist Karl R. Lepsius led to the rediscovery of the New Kingdom cemetery in 1975 by the Anglo-Dutch expedition of the Egypt Exploration Society (EES) in London and the National Museum of Antiquities, Leiden, led by Geoffrey T. Martin.",08:00 AM,05:00 PM,"FOREIGNERS:
Tomb of Horemheb + Nobles Tombs + New Kingdom Tombs:
Adult: EGP 220 / Student: EGP 110

EGYPTIANS:
Tomb of Horemheb + Nobles Tombs + New Kingdom Tombs:
Adult: EGP 20 / Student: EGP10"
Tomb of Horemheb,Saqqara,"Horemheb (c.1323–1295 BC) was the last king of the Eighteenth Dynasty. Prior to his ascension to the throne, during the reign of Tutankhamun (c.1336–1327 BC), he was the highest-ranking military officer in the realm, and held other titles as lofty as “the King’s Deputy in the Entire Land”. He was ultimately buried in the Valley of the Kings as would befit his royal status. Before this, however, Horemheb had naturally begun work on another tomb, in Saqqara.
This tomb is the largest in the New Kingdom cemetery south of the causeway of the Fifth Dynasty King Unas (c.2375–2345 BC). Like the other major tombs in this cemetery, it is a temple-tomb, so named because it reflects the structure of contemporary great state temples. It is entered through a pylon gateway preceding two open-air courtyards that themselves precede the inner rooms of the chapel, where Horemheb’s cult was practiced. The central room was surmounted by a pyramid, a solar symbol of rebirth. The burial chamber was underground, accessed through a vertical shaft cut through the floor of the inner courtyard. The discovery of the bones of a fetus along with a female skeleton, possibly of Horemheb’s wife Mutnedjmet, in his Memphite tomb shows that it did not go unused.
The reliefs in this tomb include scenes depicting Horemheb carrying out his duties. One scene shows representatives of foreign rulers pleading before Tutankhamun, with Horemheb acting as intermediary. Two scenes in particular show his exalted status prior to his rise to kingship. Here, he is depicted followed by rows of foreign captives, being publicly rewarded with the Gold of Honor by Tutankhamun himself. The Gold of Honor was awarded by kings to their officials for exceptional service. The tomb is decorated with funerary scenes as well, one of which depicts the Opening of the Mouth ritual.
The location of this tomb was not always known. It was discovered in the early 19th century, when this area of Saqqara was explored by tomb-robbers and art dealers, who then sold their findings to museums and collectors abroad. These were not limited to statues and other portable objects. Entire sections of wall relief were removed, and none of the provenance was recorded. Horemheb’s Memphite tomb was particularly affected, and its location was subsequently forgotten. Thankfully, it and the New Kingdom cemetery were eventually rediscovered in 1975.
 ",08:00 AM,05:00 PM,"FOREIGNERS:
Tomb of Horemheb + Nobles Tombs + New Kingdom Tombs:
Adult: EGP 220 / Student: EGP 110

EGYPTIANS:
Tomb of Horemheb + Nobles Tombs + New Kingdom Tombs:
Adult: EGP 20 / Student: EGP 10"
Baron Empain Palace,Cairo,"Baron Empain's palace, with its Indian style and tower, stands out in the desert landscape, distinct from the rest of the city. The palace reflects the high status of its owner and marks a major milestone in the urban landscape of Heliopolis. Baron Empain's palace is the most prominent of monuments in the capital, its unique and innovative image attracts crowds of pedestrians on the road.
It was founded by Edward Louis Joseph Empain between 1907 and 1911. He was a Belgian businessman who was awarded the title ""Baron"" by the King of Belgium on account of his economic contributions. The French architect Alexander Marcel was tasked with building this masterpiece.
The interior design of the palace consists of a basement and two floors topped by a roof. The palace is surrounded by a large garden from all sides. As for the basement, it contained a residence for the palace's servants, and consisted of a group of rooms connected by corridors
and doors. The palace building is surrounded by a spiral staircase and an elevator that connects all the palace floors with the basement.
The ground floor consists of a reception room, a dining room, and a billiard room. As for the first floor, it houses four rooms, each with its own balcony and bathroom.  Finally, the roof of the palace comes as an open space on one of the sides of the tower, characteristic of the Baron Palace.
 ",09:00 AM,06:00 PM,"FOREIGNERS:
Adult: EGP 220 / Student: EGP110
EGYPTIANS:
Adult: EGP 60 / Student: EGP 30

- The Roof
Foreigners: EGP 120
Egyptians: EGP 30"
Bab Zuwayla,Al-Mu'izz Street,"It is one of the gates of the Fatimid Cairo's walls, located on the southern side. It was built by the Fatimid Vizier Badr al-Gamali during the reign of the Fatimid Caliph al-Mustansir in 485 AH/1092 AD, about five years after the construction of the Bab al-Nasr and Bab al-Futuh on the northern side. Together, these gates stand as enduring evidence of the grandeur of military architecture in Egypt during the Fatimid era.
The gate consists of two semi-circular towers and the entrance lies between them. it measures approximately 4.82 meters wide. 300 years later, the Mamluk Sultan al-Mu’ayyad Shaykh used the bases of these two towers to build the two minarets of his mosque adjacent to the gate in 818–824 AH / 1415–1421 AD.
The gate was named Zuwayla after the tribe of Zuwayla, that came from North Africa with Jawhar al-Siqilli and quartered near the gate.  Bab Zuwayla was also known as Bawabat al-Mitwalli (the gate of al-Mitwalli), after the Mitwalli al-Hesba, the official in charge of finances and tax collection based here.
Bab Zuwayla witnessed the end of Mamluk rule when the Ottoman Sultan Selim I, hanged the last Mamluk Sultan Tumanbay, in 923 AH/1517 AD.
In the 1990s, the gate underwent its first restoration by the Committee for the Conservation of Arab Monuments. Later, the Supreme Council of Antiquities, in collaboration with the American Research Center in Egypt, successfully restored the gate as part of a five-year conservation project between 1998 and 2003.",09:00 AM,05:00 PM,"FOREIGNERS:
Adult: EGP 100 / Student: EGP 50

EGYPTIANS:
Adult: EGP 10 / Student: EGP 5"
"Bayt Al-Suhaymi (""House of Suhaymi"")",Al-Mu'izz Street,"The house is located in al-Darb al-Asfar Lane in al-Gamaliyya in al-Muizz Street. It is one of the most beautiful examples of Cairo’s domestic architecture. Shaykh Abd al-Wahhab al-Tablawi established the first part of this house in 1058 AH / 1648 AD. The second and later section was set by Haji Ismail Chelebi in 1211 AH / 1796 AD, then he merged the two parts into one house. The house named after the last resident, Shaykh Muhammad Amin al-Suhaymi, who was a senior scholar of and the Shaykh of the Turkish riwaq of al-Azhar mosque in the Ottoman Period.
In 1349 AH / 1931 AD, al-Suhaymi heirs sold this house to the Committee for the Preservation of Arab Antiquities for the sum of six thousand pounds.
 It consists of several buildings overlooking a sizable picturesque courtyard. The facades are plotted with wonderful wooden mashrabiyyas (wooden grilled windows). The house also contains a large Maq'ad (seated balcony) and a furnished reception hall.
Among the house’s unique elements are the birthing chair, the bathroom, and the wells that provided water to the house. A waterwheel irrigated the garden, and its wooden gear survives. There is a mill activated by a bull. Nearby, pottery and stone vessels preserved grains.
to download Bayt Al-Suhaymi brochure click here!
 ",09:00 AM,05:00 PM,"FOREIGNERS:
Adults: EGP220 / Student: EGP110

EGYPTIANS:
Adults: EGP 10 / Student: EGP 5"
Al-Aqmar Mosque,Al-Mu'izz Street,"Al-Aqmar mosque is located on al-Muizz Street, and was commissioned by the Fatimid Caliph al-Amir bi-Ahkam Allah in 519 AH/ 1125 AD. The mosque’s construction was supervised by the Vizier al-Ma’mun al-Bata’ihi, and it was renewed during the reign of Sultan Barquq in 799 AH/ 1397 AD under the supervision of Prince Yalbugha al-Salmi.
          The main façade of the mosque is presently one of the oldest surviving stone façades in Egypt. Its architecture is characterized by its intricate stone carvings and the repetition of the phrase “Muhammad and Ali”, in addition to Qur’anic verses written in the Kufic script. The engineer’s ingenuity is most manifest in his ability to orient the façade to the direction of the street and maintain the direction of prayer inside the mosque.
        When the Coptic Museum was built in the twentieth century, its façade was inspired by al-Aqmar Mosque’s architecture, but with Biblical
verses and Christian iconography. The mosque consists of an open courtyard at its center surrounded by four riwaqs (arcades) topped by shallow domes, the largest of which marks the qibla, the direction of prayer. An inscription above the mihrab (niche in the wall of a mosque marking the direction of prayer) records the renovations that were undertaken by Yalbugha al-Salmi.",09:00 AM,04:00 PM,Entry is free of charge
Mosque of al-Hakim bi-Amr Allah,Al-Mu'izz Street,"The Mosque of al-Hakim bi-Amr Allah is the fourth oldest mosque in Egypt, and the second largest after the Mosque of ibn Tulun. The construction of the mosque was begun by al-Hakim’s father, the Fatimid Caliph al-Aziz bi Allah in 380 AH/990 AD, but he died before its completion, leaving his son to finish it in 403 AH/1013 AD. The mosque is located at the end of al-Muizz Street in al-Gamaliya district, near Bab al-Futuh. Originally, the mosque was constructed outside the walls of the city commissioned by the Fatimid Vizier Jawhar al-Siqilli, and was later incorporated into the walls that built by Badr al-Din al-Jamali (480 AH/1078 AD).
          The main entrance lies on the western facade of the mosque, and is monumental in size and design. It is one of the oldest architectural examples of projecting entrances, and was influenced by the great Mosque of Mahdiya in Tunis. The mosque once served as a Shiite center in Egypt, operating as al-Azhar Mosque did in the Fatimid period.
The plan of the mosque consists of a triangle with four arcades centering a courtyard. Two minarets flank either side of the façade. The mosque has undergone several restoration phases throughout the years.
          The mosque has a long and intriguing history, including its role as a barracks during the French campaign, when its minarets were utilized as watch-towers. Its qibla arcade was used as a museum of Islamic art called the House of the Arab Antiquities.",Not Available,Not Available,Entry is free of charge
Bab al‑Futuh,Al-Mu'izz Street,"Bab al-Futuh (Gate of Conquests) is one of the gates in the northern wall of Fatimid Cairo. It opens onto the historic al-Muizz Street, which leads to Bab Zuwayla. It was built by the vizier and commander-in-chief, Badr al-Jamali, during the reign of the Fatimid Caliph al-Mustansir Billah in 480 AH/1087 AD. Bab al-Nasr and Bab al-Futuh along with Bab Zuwayla (485 AH/1092 AD) are among the rare examples of military architecture in the Islamic world prior to the Crusades.
          As its dating inscription attests, this gate was founded as Bab al-Iqbal (Gate of Prosperity), but the inhabitants of Cairo continued to refer to it by the name of the older monument it replaced, Bab al-Futuh which was passed by the army to their conquests. The two towers of the gate have rounded fronts, and are linked by a platform, which features shafts in its floor through which boiling oil could be poured on invaders. The arch is splayed, and decorated with a lattice of diamonds, each containing a sculpted shape. Also worth noting are the beautifully decorated corbel stones above the arch.",Not Available,Not Available,It's free of charge
Bab al-Nasr,Al-Mu'izz Street,"Bab al-Nasr (Gate of Victory) is one of the gates of the northern wall of Fatimid Cairo, and opens onto al-Gamaliya Street. It was built in 480 AH/1087 AD by the vizier and commander-in-chief, Badr al-Jamali, during the reign of Caliph al-Mustansir bi Allah.
          The current Bab al-Nasr displaced an earlier, brick, gate constructed by Jawhar al-Siqilli, Cairo’s founder. Deeming it insufficient for the protection of the city, Badr decided to construct a new, stone, tower, which he sited farther north. Although this new structure was founded as Bab al-Izz (Gate of Glory, or Power), it continued to be known by the name of the old tower, Bab al-Nasr.
          The gate consists of two square towers with the entrance in between. A series of shields carved in raised relief adorns the facade of the gate and its towers. These are likely suggestive of the protective role of the Fatimid fortifications, which are acting as the shields of the city.",Not Available,Not Available,It's free of charge
Maimonides Synagogue,Cairo,"The Synagogue is attributed to the Cordoban Jewish Moses ben  Maimon, who was born in 1135 AD in Cordoba, Andalusia, and died in Egypt in 1204 AD.  He was an accomplished scholar of Jewish religious sciences, medicine, mathematics, and philosophy, and is said to have been the private physician of sultan Salah al-Din al-Ayyubi’s family.
This Synagogue was built in the same place where Maimonides settled in Egypt until his death and was buried in one of the rooms attached to the Synagogue. The Synagogue building underwent reconstruction and restoration operations, the most prominent of which was the restoration that took place during the period from 2007 to 2010 AD by the Supreme Council of Antiquities.
The entrance to the Synagogue is located in the northwest corner of its marble facade. Above the entrance is a figure in the form of an open book representing the two tablets of the Ten Commandments in Hebrew.  Above it is an inscription in Arabic that reads: “The synagogue and shrine of Maimonides Harambam” and its translation in Hebrew.  The entrance leads to a courtyard containing two doors.  One leads to the synagogue while the other leads to the synagogue annexes.
The inside of the synagogue is a rectangle, and it is the part designated for prayer and religious rituals, where the marble platform (bimah) is located in the middle, which used for preach and read the Torah. The sanctuary is located on the eastern wall and contains the Torah cabinet made of wood for preserving the books of the Torah.  At the top of the western wall of the synagogue is the women's section, which overlooks the synagogue and the bimah through three windows.
The second door in the courtyard leads to the annexes of the synagogue, which are rooms, the largest of which is divided into three parts which is called Yeshiva which Moses ben Maimon is believed to have used to teach the members of the sect the lessons of Jewish law. which is the tomb of Moses ben Maimon before his remains were transferred to Tiberias in Palestine, and patients used to stay in to seek recovery. In addition to the presence of a water well that used for purification and supplying water to the synagogue. Ajacent to this room are room for the clergy and bathrooms.",Not Available,Not Available,Free
Muhammad Ali Mosque,Cairo Citadel,"The Mosque of Muhammad Ali is located inside the Citadel of Salah al-Din al-Ayyubi (Saladin) in Cairo. It was built by Muhammad Ali Pasha in 1265 AH\ 1848 AD on the site of Mamluk palaces. This mosque is known as the ""Alabaster Mosque"", in reference to its marble paneling on its interior and exterior walls. The mosque’s twin minarets are the highest in all of Egypt, each reaching a height of 84 meters.
The mosque was built on the Turkish style that consists of an open court and prayer hall. The prayer hall is a square space that surmounted with a large central dome which surrounded by four semi-domes and four shallow domes in the corners. There are two minbars (pulpits) inside the mosque. The original of the two is made of wood decorated in green. The other was a later addition made of marble.   
The outer open court contains a copper clock tower, which was gifted to Muhammad Ali Pasha by Louis Philippe of France in 1262 AH/1845 AD. Muhammad Ali Pasha reciprocated the gesture with an obelisk of Ramesses II’s (c.1279–1213 BC) that stood in front of Luxor Temple. Today, it stands in the Place de la Concorde Square, Paris.
Limestone is the mosque’s main building material. Its square plan consists of a central dome supported by four half.",08:00 AM,04:00 PM,Included in the citadel ticket
Sultan al-Nasir Muhammad Mosque,Cairo Citadel,"The mosque of Sultan al­Nasir Muhammad ibn Qalawun, in the Citadel of Salah al-Din al-Ayyubi (Saladin) in Cairo, was the royal mosque during the Mamluk Period. It is located in the Citadel’s southern section. The Mamluk sultan, al-Nasir Muhammad, has ordered this mosque be built in 718 AH/ 1318 AD. He rebuilt it in 735 AH/1335 AD. This mosque was highly cherished by subsequent Mamluk sultans, and used by the Mamluk occupants of the Citadel.
          The mosque is among the most prominent monuments within the citadel, it is consists of an open court surrounded by four porticos. The mosque has two minarets, the tops of the two minarets and dome were once covered in green tiles, and are influenced by an eastern Islamic style. The inside of the dome is decorated with a banner of Qur’anic verses, the titles of Sultan al-Nasir Muhammad, and the date of rebuilding the mosque. The ceiling of the mosque is decorated with beautiful geometric shapes. The ornate minbar (pulpit) is made of wood, inlaid with ivory and mother-of-pearl, and inscribed with the name of King Farouk.
          The mosque was used as storage and prison during the British occupation of 1882 AD. This led to its destruction, but it was subsequently restored in 1948 AD.",09:00 AM,04:00 PM,Included in the citadel ticket
Mosque and Madrasa of Sultan Hasan,Salah al-Din Square,"The Mosque and Madrasa of Sultan Hasan is one of the largest and architecturally exquisite mosques in all of Egypt. It was commissioned by the Mamluk sultan Hasan ibn al-Nasir Muhammad ibn Qalawun sometime between 757 AH/1356 AD and 764 AH/1362 AD, and is located at the end of Muhammad Ali Street, opposite its nineteenth century neighbor al-Rifa’i mosque in Salah al-Din Square.
The mosque consists of an open courtyard with fountain in its centre. The courtyard is surrounded by four iwans (a rectangular space that is open on one side). Doorways at the four corners of the courtyard allow access into four madrasas, educational institutions, where the four Sunni schools of Islamic jurisprudence were taught. Each consists of a court and iwan, in addition to the rooms of the students and annexed service units. The mosque has two minarets built in the Mamluk style. 
          Its proximity to the citadel ultimately resulted in its use as a fort by enemies several times throughout its history, as it was used as a platform to launch attacks on the citadel.
          Like most Islamic monuments in Cairo, this one has also undergone several phases of reconstruction, up until the twentieth century. The mosque and madrasa are distinguished with the ornate domes, stone and plaster carved decorations, as well as the marble works of the mihrab.  
to download Mosque and Madrasa of Sultan Hasan brochure click here!",09:00 AM,05:00 PM,"Area entry:
FOREIGNERS:
Adult: EGP 220 / Student: EGP 110
Inclusive tickets allowing entry into Al-Rifa'i Mosque.

EGYPTIANS:
Adult: EGP 0 / Student: EGP 0"
Al-Rifa’i Mosque,Salah al-Din Square,"Located on Salah al-Din Square (or Maydan al-Qal’a “Citadel Square”), al-Rifa’i Mosque was built in the nineteenth century to Equivalent its fourteenth-century neighbor, the mosque of al-Sultan Ḥassan. The mosque gets its name from the tomb of Ali who was known as ""Abu Sheibak"", he was the grandson of imam Ahmad al-Rifa’i. when the mosque was completed, it was imputed directly to Ahmad al-Rifa’i who founded the Rifa’i Sufi order. Although he was never buried here, the mosque witness a joyous annual Sufi celebrations commemorating his birth.
          The original structure was a Fatimid mosque, which was then transformed into a shrine for Ali Abu Sheibak. Finally,
Hoshiyar Hanim, the mother of Khedive Ismail, commissioned the current design of the mosque and put in charge of the construction the architect Hussein Pasha Fahmi. Part of the plan was to have a mausoleum for the family of Muhammad Ali as part of the extension, which was made by imported building materials from Europe, such as Italian marble. The construction has stopped for years until it was completed in the region of Khedive Abbas Helmi II in 1330Ah\ 1912 AD.
          Al-Rifa’i Mosque’s architectural design is as interesting as its construction history. Visitors stand in awe of the detailed decoration of the outer walls and massive columns of the outer gate. The minarets are distinguished by their beauty and elegance. Additionally, cement was used in the construction of the mosque for the first time in any of Islamic monument in Egypt, signaling the transition into modern times.
          While a section of the mosque is dedicated to prayers, another is reserved for the members of the family of Muhammad Ali Pasha, which was in power from the early nineteenth century until the 1953, when the modern Egyptian republic was born. Khedive Ismail and his mother Hoshiyar Kadin, as well as Kings Fuad I and Farouk, the last two rulers of the Muhammad Ali Dynasty, are buried here, all enshrined in elaborate tombs. The mosque contains the burial chamber of Muhammad Reza Pahlavi (d. 1400 AH/1980 AD), the last Shah of Iran.",09:00 AM,05:00 PM,"Area entry:
FOREIGNERS:
Adult: EGP 220 / Student: EGP 110
Inclusive tickets allowing entry into Sultan Hassan Mosque and Madrassa.

EGYPTIANS:
Adult: EGP 0 / Student: EGP 0"
Ali Labib House,Salah al-Din Square,"The house is located Darb al-Labana Lane, and is considered one of the best-preserved structures exhibiting domestic architecture of the eighteenth century. It was popularly known as the House of Artists because many artists, such as Ragheb Ayyad and Shadi Abd al-Salam, resided there.
Ali Labib House was first established by Umar al-Malatili and his brother Ibrahim and it was was later known as Ali Labib.
The house was neglected towards the end of the 20th century until it was renovated at the turn of the millennium. In the 21st century, Ali Labib House was converted into a museum of architecture, and is where the House of Egyptian Architecture is based.",09:00 AM,05:00 PM,"FOREIGNERS:
Adult: EGP 100 / Student: EGP 50

EGYPTIANS:
Adult: EGP 10 / Student: EGP 5"
Ahmad Ibn Tulun Mosque,Al-Saliba Street,"The mosque of Ibn Tulun was commissioned by Ahmad Ibn Tulun (254–270 AH/868–884 AD), ‘Abbasid governor of Egypt, who in 266 AH\ 872 AD ruled Egypt as an independent state.
Construction began in 263 AH/876 AD, and finished in 265 AH/879 AD. Located on Jebal Yashkur (in modern-day Ahmad Ibn Tulun Square, Sayyida Zaynab), the mosque was meant to serve as the main congregational mosque of Ibn Tulun’s new administrative capital, al-Qata’i. The building of this mosque was a further step in asserting Ahmad Ibn Tulun’s independence from the ʿAbbasid Caliphate.
The mosque is distinguished by its spiral minaret, which echoes the designs of the al-Abbas mosque in Samarra, Iraq. The arches and the windows of the mosque’s courtyard contain stucco designs of geometric and floral designs. A water fountain is positioned in the center of the courtyard, surmounted by a dome supported on marble columns. The interior of the mosque contains six mihrabs. The mihrab is a niche in the wall of a mosque that marks the qibla, the direction of the Kaaba in Mecca, which Muslims face during prayer. The main mihrab is hollow and elaborately decorated.",09:00 AM,05:00 PM,Free
Sabil Umm Abbas,Al-Saliba Street,"Sabil Umm Abbas is located on al-Saliba Street in SayyidaZaynab, Cairo. It was commissioned by Lady BambaQadin in 1284 AH/ 1867 AD, in memory of her son, ruler of Egypt, Abbas Helmi I (1264-1270 AH/ 1848-1854 AD).
          This sabil is one of beautiful water fountains in Cairo, executed with tremendous care and skill. These were Ottoman in style. The circular facade of this sabil contains four copper windows surmounted with wooden projecting bracket topped with ribbed dome.
          Kuttab (school) was attached to the sabil for teaching Quran to children. It is covered in Arabic and Turkish inscriptions, including a text banner bearing the name of the calligrapher, Abd Allah al-Zuhdi al-Nabulsi. The sabils' walls are covered with marble which carved with floral ornamentation in the European rococo style.",Not Available,Not Available,Entry is free of charge
The Takeyya Mawlawiyya Madrasa-Mausoleum of Amir Sunqur al-Sa'di,Al-Suyufiyya Street,"The Mawlawi Tekiyya was originally a madrasa, established by Prince Shams al-Din Sunqur al-Sa’di in 721 AH / 1321 AD on Suyufyya Street. In 745 AH / 1344 AD, it became more commonly known as the dome of Shaykh Hasan Sadaqah al-Sharabishi. The school’s plan consists of an open courtyard, of which only a water fountain survives. The court is surrounded by the remains of small rooms which were reserved for students. The Mawlawi Tekiyya itself was established in 1005 AH / 1595 AD, and served as a hospice for the poor. Its façade was distinguished by a fusion of Mamluk and Ottoman styles. The takeyya became a place of residence for Sufi dervishes of the Mawlawi (Mevlevi) order starting the seventeen century, after which it moved to another location.
          The most important characteristic of the Mawlawi Tekiyya is the dome of its ceiling, which is built on twelve wooden pillars. The rooms of the Takeyya is divided into two floors: the ground floor contains eight rooms with wooden ceilings, and the second contains eight different rooms of different sizes and purposes.
          The Dervish stage, built in 1255 AH\ 1810 AD, is dedicated to Mawlawi gatherings of dhikr, ""remembrance of god"" It is composed of a circular wooden platform surrounded by a wooden handrail which has two doors. Here the dervishes perform circular movements as a form of dhikr. The second floor above this space is reserved for guests and women, and is reached by means of a wooden staircase.",09:00 AM,05:00 PM,"FOREIGNERS:
Adults: EGP 100 / Student: EGP 50

EGYPTIANS:
Adults: EGP 10 / Student: EGP 5"
Church of Saint Sergius and Bacchus,Al-Fustat (Old Cairo),"The Church of Saint Sergius and Bacchus, also known as Abu Serga, is built upon an ancient Roman fort in Old Cairo. The history of the church is still being debated. Some scholars believe that it dates to the late fourth to early fifth centuries AD, while others believe that it should approximately be dated to 17th century AD.
         This church has acquired a special religious status among Coptic churches because it is associated with the Holy Family's journey through Egypt. It is named after renowned early fourth century AD saints, Sergius and Bacchus, both of whom were martyred at al-Resafa in Syria for their Christian beliefs.
          Like various other early Christian churches, the Church of Abu Serga and its underground cave are designed in the basilica layout, and thus together consist of three parts: the narthex, nave, and sanctuary (the cave being below the sanctuary). The church is characterized by its unique architectural and artistic elements that reflect the spirit of Coptic church architecture in Egypt. These include the pulpit, baptismal font, inlaid ivory and wood templon, and unique religious decoration of the saints and apostles decorating the various domes, walls and columns.",09:00 AM,04:00 PM,Free
Ben ‘Ezra Synagogue,Al-Fustat (Old Cairo),"Ben ‘Ezra Synagogue is the oldest synagogue in Egypt. It was once the center of many celebrations, congregations and prayers, but is no longer in use today. The synagogue is named after Abraham ibn ‘Ezra, the Jewish religious scholar and philosopher.
Ben ‘Ezra contains all the main features of a synagogue. The bimah, or pulpit, from which prayers were read is in its center. The most sacred feature of a synagogue, the hekhal, which marks the direction of prayer, is decorated in Arabesque style and inlaid with mother of pearl, displaying a merge of artistic traditions. The Ten Commandments are inscribed on it in Hebrew.
          Every synagogue keeps a geniza, a repository for old documents mentioning the name of God, which could not be simply discarded. Ben ‘Ezra’s was especially large. It had accumulated documents over a span of 850 years. This treasure of historical documents was discovered by Europeans in 1888, and is now housed in libraries around the world. The Cairo Geniza, as it is known today, includes many rare and previously unknown documents.",09:00 AM,04:00 PM,Free
The Mosque of ‘Amr ibn al-‘As,Al-Fustat (Old Cairo),"The mosque of ‘Amr ibn al-‘As is the oldest surviving mosque in Egypt and Africa. General ʿAmr ibn al-ʿAs was one of the first companions of the Prophet Muhammad. After conquering Egypt in 20 AH/640 AD, he founded its first Islamic capital, Fustat, which falls within the modern city of Cairo. A year later, by order of the Caliph ‘Umar ibn al-Khattab, he also founded the eponymous mosque of ‘Amr ibn al-‘As, which thus became the new capital’s very first building.
During the early years following the conquest, the mosque served as a place of gathering for Muslim community and ‘Amr’s troops, which at the time remained a minority in Egypt. Several of the Prophet’s companions assisted in the building’s construction, including al-Zubayr ibn al-‘Awam and Ubada ibn al-Samit.
The structure underwent many architectural changes throughout its lifetime, such that very little of the original survives today. What currently stands in Old Cairo is the mosque’s twentieth century reconstruction. However, it remains true to the modesty of Islamic architecture in its earliest form, evolving from a shed with palm-tree columns to the elegant arcade halls that still house prayers to this day.",09:00 AM,04:00 PM,Free
Rawda Island Nilometer,Al-Fustat (Old Cairo),"Nilometers, as their name suggests, were used to measure flood levels so that dykes and canals could be prepared accordingly. Flood levels affected agricultural productivity, so another major purpose of Nilometers was to set taxation levels.
Built on the order of the Abbasid Caliph al-Mutawakkil in 247 AH/861 AD, the Nilometer on Rawda Island is one of the oldest in Egypt. It is also the oldest structure built after the Arab conquest (20 AH/640 AD) that survives in its original form. The annual seven-day celebration of the Nile flood, which took place from the medieval period down to the end of the nineteenth century, was attended by the sultan himself along with his senior officials.
The Rawda Island Nilometer consists of a marble octagonal column 19 cubits in length in the middle of a stone-lined well that is rectangular at the top, and circular at the bottom. Qur’anic texts relating to water, vegetation, and prosperity are carved on the walls of the well, as are measuring marks on the column, which were used to determine the height of the flood as the water rose through the well. A stairway spirals down to the bottom.",09:00 AM,05:00 PM,"FOREIGNERS:
Adults: EGP 120 / Student: EGP 60

EGYPTIANS:
Adults: EGP 20 / Student: EGP 10"
Monastery of the Syrians,Behera,"The Monastery of the Syrians, also known as the al-Surian, is one of the four surviving monasteries in Wadi Natrun situated in an area of the Western Desert. Its valuable collection is a beacon for visitors, who come in reverence to admire its rare relics for their artistic qualities
          Currently, it is the smallest surviving monastery of Wadi Natrun and is the most famous amongst clergymen and scholars around the world. Although the monastery’s foundations date back to the fourth century AD, it is known as the Monastery of the Syrians because of a group of al-Surian monks who settled in Wadi Natrun in 984 AD.
          The monastery includes a number of monumental buildings including a fortress, a group of monastic cells, and three large churches named the Virgin Mary, the Cave of Virgin Mary, the Church of Archangel Michael.
          The Church of the Virgin Mary is the monastery’s main church. Built in 645 AD, it is also its oldest building after the Cave of Anba Bishoy to its west, and features beautiful engravings covering its walls, doors, and domes. In 1994, a team of researchers from the University of Leiden examining the plaster layers covering the walls of the church discovered many frescos (wall paintings) from the seventh to eighteenth centuries AD. Among the depictions are the birth and death of the Virgin Mary, and Jesus Christ carrying her soul.
          An extensive and rare collection of Syriac manuscripts was discovered in the monastery’s library during the nineteenth century. This unparalleled collection, currently housed in the Vatican Library and other institutions, includes some of the oldest Greek texts by Aristotle, Euclid, and Hippocrates.",08:00 AM,05:00 PM,Free
The Cemetery of Shatby,Alexandria,"Occupying an area of 3500 square meters, the Hellenistic Cemetery of Shatby is situated at the heart of modern Alexandria (district of Shatby).
The use of cemetery began in late 4th century BCE, about a couple of decades following the foundation of the city by Alexander the Great, and continued for the following three centuries.
Shatby Cemetery was unearthed during the systematic excavations (1904-10) of Evaristo Breccia, director of the Graeco-Roman Museum of Alexandria. After many decades of deterioration the site was restored and upgraded by the Archaeological Society of Alexandria sponsored by the A.G Leventis Foundation.
The Cemetery of Shatby yielded a variety of finds such as gravestones, cinerary urns, minor sculptures, coinage, glassware and plenty of pottery.",09:00 AM,05:00 PM,"FOREIGNERS:
Adult: EGP 100 / Student: EGP 50

EGYPTIANS:
Adult: EGP 20/ Student: EGP 10"
