Restaurant_Name,City,District,Address,Phones
Hawawshy El Shief,Alexandria.,El mandara el bahareya,Gamal Abdel Nasser St. El Gamea Sq.,
Hawawshy King,Cairo.,El manyal,48 Mathaf El Manial St.,
Hawawshy Shalaby,Giza.,Faisal,"146 Faisal St., Khaled Tower, El Matbaa",
Hawwashi Haroon,Cairo.,Shoubra,29 Selwanes St.,
Hebo El Eskandarany Restaurant,Cairo.,Nasr city,12 Saudi Bldgs. Kilany Mohamed Kilany St.,
Hekaya Restaurant,Giza.,El haram,"9 El Thalathiny El Gadid St., El Talbeya",
Hekaya Restaurant,El beheira.,Shoubrakhit,Port Said St.,
Helwan El Waheed Restaurant,Cairo.,Helwan,13 Mansour St.,
Home Kitchen,El sharkeya.,10th of ramadan,", 3rd Industrial Zone A1",
Homey Cooked,Giza.,Agouza,19 Nawal St.,
Horus House Restaurant,Cairo.,Zamalek,21 Ismail Mohamed St.,
Horus Restaurant,El dakahleya.,Belqas,El Mahkama St.,
Hot Food Restaurant,Cairo.,Heliopolis,"7 Aioub Bldgs., Hassan Aflatoun St. Off El Nozha St., Ard El Golf",
Hussein El Sharqawy,Cairo.,Kebaa city,34 Ibrahim Khalil St.,
Hwawshy W Bas,Alexandria.,Semouha,"El Fath St. Off Edmund Vermont St., El Gamarek Bldg.",
Ibn El Balad,Kaliobeya.,Shoubra el khaymah,El Wehda St.,
Ibn El Balad Restaurant,Cairo.,Al rehab city,"Champs Elysees Passage, Commercial Market, Shop 335",
Ibn El Balad Restaurant,Giza.,Faisal,Abdel Moneim Mahmoud St.,
Ibn El Hetta,Giza.,Dokki,29 Soliman Gohar St.,
Ibn El Hetta Restaurant,Giza.,Ard el lewaa,23 Mostafa El Assal St.,
Ibn El Rashidy Restaurant,Alexandria.,El mansheya,2 Talbet El Elm St.,
Ibn Hamido Restaurant,Alexandria.,El attarin,18 Nasser El Khalig St. Off Moharram Bey St.,
Ibrahim El Sharqawy,Cairo.,El marg,27 Fawzy Abdel Maqsoud St.,
Indonesian Restaurant,Hurghada.,Dahar,El Corniche Rd.,
Iraq Sons Restaurant & Bakeries,Giza.,6th of october,"Mekka El Mokarrama St., 1St Neighbourhood, 7th District",
Isis Restaurant,Cairo.,Nasr city,"Gamal Salem St., 7th District",
Islam Restaurant,Giza.,Imbaba,"106 Extension Of El Wehda St., El Monira El Gharbeya",
Islam Restaurant,Giza.,Faisal,"84 Manshaet El Bakary St., Manshaet El Bakary, El Mariouteya",
It's Kebda,Cairo. See All Branches❯,Nasr city,"26 Hassanein Abdel Qader St., Off Hassan El Maamoun St.",
Italiano Shawerma,Giza.,Imbaba,1 Abdel Mongy Ibrahim St.,
Jeddah Restaurant,Alexandria.,Sporting,137 El Guish Rd.,
Jetlag Kitchen,Cairo.,New cairo,"Km 7 Cairo Suez Desert Rd., 1st Compound",
Jetlag Lounge,Cairo.,Heliopolis,Salah Salem Rd.,
Jewel Of The Nile Restaurant,Luxor.,Luxor,"El Rawda El Sharifa St., El Fayrouz District, LUXOR",
Jian,Cairo.,Al rehab city,.,
Jomana Restaurant,Cairo.,Mokattam,5 Rd. 11,
Jouz Hamam,Cairo.,Maadi,"10074 City Center Plaza Tower, 10th Neighbourhood, El Mearag City, Zahraa El Maadi",
Juliano's Pizzeria,Giza.,Dokki,3 Ibn El Walid St.,
Just Kebda,Cairo.,Maadi,"El Khamsin St., Zahraa El Maadi",
Kabab Zebda,Cairo.,Heliopolis,"Cairo Suez Rd., Extension Of El Thawra St., Almaza",
Kababgy El Deek,Cairo.,El sayeda zeinab,"8 Beiram El Tonsy St., Zein El Abedeen Sq.",
Kababgy El Hareef,Giza.,Faisal,"146 Faisal St., Khaled Tower, El Koum El Akhdar",
Kababgy El Horreya,Cairo.,New cairo,"Bldg. No. 15A, 4th Neighbourhood, 1st Compound",
Kababgy El Mostafa,Cairo.,Maadi,"1 El Thawra St., Off Hassanein Desouqy St., Hadayek El Maadi",
Kahraman Restaurant,Giza.,Mohandeseen,45 El Batal Ahmed Abdel Aziz St.,
Kairo 365,Cairo. See All Branches❯,Downtown,16 Abdel Khaleq Tharwat St.,
Kalaks Food,Giza.,El haram,"216 Gardenia St., Hadayek El Ahram",
Kalbz Restaurant,Kafr el sheikh.,Downtown,El Guish St.,
Kana Cafe,Cairo. See All Branches❯,Heliopolis,"Omar Ibn El Khattab St., Off El Thawra St., Ard El Golf",
Kanoon Restaurant,Cairo.,New cairo,", Gamal Abdel Nasser Spine, 5th Compound",
Karioka Restaurant,Cairo.,Maadi,71 Rd. 9,
Karma Restaurant,Giza.,Dokki,"29 Omar Ibn El Khattab St., Off El Marwa St.",
Kasr El Kebda Restaurant,Cairo.,Nasr city,128 El Tawfiq Bldgs. El Tayaran St.,
Kassab Restaurant,Cairo.,El sayeda zeinab,Port Said St.,
Katalia Cafe,Cairo.,Heliopolis,"Omar Ibn El Khattab St., Off El Thawra St.",
Katma Restaurant,Giza.,El haram,"179 C, Hadayek El Ahram",
Kazaz Restaurants,Cairo. See All Branches❯,Downtown,"38 Sabry Abou Alam St., Off Talaat Harb Sq.",
Kazouza,Cairo. See All Branches❯,Maadi,"14 Rd. 9, Thakanat El Maadi",
Kebda Kayan,Cairo.,Gesr el suez,"154 El Khalil Ibrahim St., Arab Gesr El Suez",
Kebda & Kaborya,Cairo.,New cairo,"Plot 100 Mogamaa El Bonouk St., Off El Tesaeen St., 5th Compound",
Kebda & Mokh Abou Ahmed El Sharqawy,Cairo.,Heliopolis,"162 El Nozha St., Saint Fatima",
Kebda & Mokh Abou Ahmed El Sharqawy,Cairo.,Heliopolis,"132 El Nozha St., Triumph Square",
Kebda & Mokh Abou Aly,Giza.,Auseem,"1 Ahmed El Dewainy St., Off Masged El Rahman St., Bashteel Village",
Kebda & Mokh Abou Ekramy,Giza.,Manshyet el qanatir,4 El Galatema Rd.,
Kebda & Mokh Abou El Anater,Giza.,Faisal,"2 Fayez Sewid St., Off El Safa & El Marwa St.",
Kebda & Mokh Abou Hany,Giza.,Manshyet el qanatir,4 El Galatema Rd.,
Kebda & Mokh Abou Islam El Sharqawy,Cairo.,Ain shams el sharkeya,"14 Omar Ibn El Khatab St., Off Mostafa Hafez St.",
Kebda & Mokh Abou Ramy,Giza.,El hawamdeya,21 Gesr El Manawat St.,
Kebda & Mokh Abou Shady,Giza.,Kerdasa,"39 Gamal Abdel Nasser St., El Moatamedeya Village",
Kebda & Mokh Aly El Sharqawy,Cairo.,Nasr city,"11 A El Mothalath Bldgs., Mostafa El Nahhas St.",
Kebda & Mokh Anwar El Hussein,Cairo.,El nozha el gadida,31 Dr. Ahmed Zaky St.,
Kebda & Mokh El Arzaq Bellah,Cairo.,El zawia el hamra,"1 Aly Soliman Alley, Off Mansheyet El Gamal St.",
Kebda & Mokh El Dawly,Giza.,Auseem,"6 Masged El Rahman St., Bashteel Village",
Kebda & Mokh El Hareef,Giza.,El moneeb,2 Awlad El Sheikh St.,
Kebda & Mokh El Hussein Restaurant,Port said.,El shark district,El Shaheed Atef El Sadat St.,
Kebda & Mokh El Omda,Cairo.,Heliopolis,"59 Saqr Qoraish Bldgs., El Nasr St., Sheraton Bldgs.",
Kebda & Mokh El Omda,Cairo.,El zawia el hamra,1 Madbouly Shabaan St. Off Ahmed Hashad St.,
Kebda & Mokh El Omda,Giza.,Giza,37 Salah Salem St.,
Kebda & Mokh El Sharqawy,Cairo. See All Branches❯,Heliopolis,"76 El Hegaz St., Heliopolis Square",
Kebda & Mokh El Sharqawy,Cairo.,Maadi,"1 Farag Youssef St. Off Faida Kamel St., Hadayek El Maadi",
Kebda & Mokh El Sharqawy,Cairo.,Ain shams el sharkeya,"1 Abdel Magid Zaghloul St., Off El Eshreen St., Zahraa Ain Shams",
Kebda & Mokh El Sharqawy,Cairo.,El marg,2 Zakareya Selim St.,
Kebda & Mokh El Sharqawy,Cairo.,Nasr city,1 Extension Of Ramsis St.,
Kebda & Mokh El Sharqawy,Cairo.,Nasr city,"6 El Gabal El Akhdar Bldgs., Emtedad Ramsis St.",
Kebda & Mokh El Sharqawy,Cairo.,Heliopolis,"14 El Marwa Bldgs., Nabil El Waqqad St. Off Ahmed Tayseer St., koleyet El Banat",
Kebda & Mokh El Sharqawy,Cairo.,Heliopolis,"6 Ezzat Mohamed Selim St., Almaza",
Kebda & Mokh El Sharqawy,Cairo.,Nasr city,"28 Samir Abdel Raouf St., Extension Of Makram Ebaid St., 8th District",
Kebda & Mokh El Sharqawy,Cairo.,Hadayek el kobba,"7 Abou Bakr El Seddik St., El Waily El Kabir",
Kebda & Mokh El Sharqawy,Cairo.,Gesr el suez,"149 Oman St., Arab Gesr El Suez",
Kebda & Mokh El Sharqawy,Cairo.,El marg,"1 Swidan St., Off El Markaz El Egtemaey St.",
Kebda & Mokh El Sharqawy,Cairo.,Heliopolis,"48 Baghdad St., Off Othman Ibn Affan St.",
Kebda & Mokh El Sharqawy,Giza.,Boulak el dakrour,"39 El Ethad St., Zeineen",
Kebda & Mokh El Sharqawy,El sharkeya.,10th of ramadan,"El Ordoneya, City Center",
Kebda & Mokh El Sharqawy,Benisuef.,Benisuef,Abdel Salam Aref St.,
Kebda & Mokh El Sharqawy,Giza.,El moneeb,2 Badawy St.,
Kebda & Mokh Fathy,Cairo.,El sayeda zeinab,"269 Port Said St., Loualoat El Khalig Tower",
Kebda & Mokh Kasr El Sultan,Giza.,El hawamdeya,"8 Torad El Nil St., El Ezba El Sharqeya",N/A
Kebda & Mokh Magdy El Sharqawy,Cairo.,Nasr city,17 El Khalifa El Kaher St.,
Kebda & Mokh Mohamed El Sharkawy,Cairo.,New cairo,"Block 32, Youth Housing, 8th Neighbourhood, 1st Compound",
Kebda & Mokh Wadi El Nil,Cairo.,Bab el shaareya,"167 El Guish St., Bab El Sheareya Sq.",
Kebda & Qassab,Cairo.,Nasr city,"3 A Dr. Mahmoud Ibrahim St. Off Abbas El Akkad St., 7th District",
Kebda & Smen,Cairo.,Maadi,"1 Metro City Bldgs. El Khamseen St., Zahraa El Maadi",
Kebda & Sogok,Giza.,El haram,"El Tharwa El Maadaneya St., Zone Z, Hadayek El Ahram",
Kebda Balady,Giza. See All Branches❯,El haram,"6 B El Tharwa El Maadaneya St., Hadayek El Ahram",
Kebda Car,Cairo.,Heliopolis,"Misr Lel Taamir Bldgs., 4th Zone, Sheraton Bldgs.",
Kebda Corner,Giza.,Dokki,9 El Kawthar St.,
Kebda El Hareef,Cairo.,New cairo,", 10th Neighbourhood, 1st Compound",
Kebda El Ka7yan,Giza.,6th of october,", 3rd Neighbourhood, 1st District",
Kebda El Sharqawy,Cairo.,El marg,312 Moassaset El Zakah St.,
Kebda El Sharqawy,Cairo.,Nasr city,"19 Mohamed Mahdy Arafa St., 10th District",
Kebda El Sharqawy,Cairo.,Hadayek helwan,36 Teraet El Khashab St.,
Kebda Eskandarani Restaurant,Alexandria.,Semouha,7 El Tayyar Mahmoud Shokry St.,
Kebda House,Giza.,6th of october,"2nd Neighbourhood, District 12, El Sheikh Zayed",
Kebda King,Giza.,6th of october,"Central Spine, El Hosary Sq., 7th District",
Kebda W Sad2tha,Giza.,6th of october,"Central Spine, El Hosary Sq., 1st District",
Kebda W Sadataha,Giza.,El haram,"216 D Gardenia St., Hadayek El Ahram",
Kebda W Shawerma,Giza.,Dokki,12 Amin El Rafaey St. El Messaha Sq.,
Kebda We Sadqtha,Cairo.,Nasr city,"22 El Batrawy St., Off Abbas El Akkad St.",
Kebdah & Mokh Abdo El Sharqawy,Cairo.,Ain shams el sharkeya,"7 Abdel El Halim Mahmoud St., Arab Gesr El Suez",
Kebdah El Falah Restaurant,Cairo. See All Branches❯,El katameya,"El Shaheed Spine, Intersection Of Rd. 9, Golden Gates Compound",
Kebdaky,Giza.,El haram,2 el arish st.,
Kebdaky,Giza.,Boulak el dakrour,"1 El Makhbaz St., Off El Masraf St.",
Kebdaky Restaurant,Giza.,El moneeb,8 El Fakharany St.,
Kebdaky Restaurant,Giza.,El baragil,"4 El Baragil Bldgs., El Baragil Rd.",
Kebdaky Restaurant,Kaliobeya.,Shebein el kanater,35 El Mahatta Sq.,
Kebdat El Falah,Alexandria.,Raml station,9 El Qaysar St.,
Kebdat El Falah,Alexandria. See All Branches❯,El mansheya,"6, El Tahrir Sq.",
Kebdat El Falah,Giza. See All Branches❯,Faisal,"186 Faisal St., El Tawabeq",
Kebdat El Falah Alexandria,Cairo. See All Branches❯,New cairo,"Plot 67, 1St District Services Zone, 5th Compound",
Kebdat El Meqawel,Giza.,Imbaba,"Gamea Belal St., El Monira",
Kebdet Am Amin,Alexandria. See All Branches❯,Raml station,16 El Mina El Sharqeya St.,
Kebdet April,Cairo.,15th of may city,"Plot 22, 3rd Neighborhood",
Kebdet Awlad El Falah,Alexandria.,Raml station,9 Qaysar St.,
Kebdet El Araby,Alexandria.,Sidi beshr bahary,53 Khaled Ibn El Walid St.,
Kebdet El Fallah,Giza.,Agouza,3 Salem Salem St.,
Kebdet El Hag Hemeda El Sharkawy,Cairo.,Maadi,"2 El Horreya St., Intersection Of Ahmed Zaky St., Hadayek El Maadi",
Kebdet El M3lm,El gharbeya.,Tanta,", Freelance Business",
Kebdet El Meniawy,Cairo.,Maadi,"52 Ahmed Zaky St., Hadayek El Maadi",
Kebdet El Prince,Kaliobeya.,Shoubra el khaymah,El Gadid St.,
Kebdet El Prince Restaurant,Giza. See All Branches❯,6th of october,", 1st District, El Sheikh Zayed",
Kebdet El Sharqawy,Giza.,El haram,"Dr. Mohamed Fouad Said St., El Omraneya El Gharbeya",
Kebdet El Tayeb,Cairo. See All Branches❯,Nasr city,"109 El Fath Bldgs., Extension Of Abbas El Akkad St., El Sefarat District",
Kebdet Fahmy,El gharbeya.,Tanta,El Helw St. Intersection Of Hassan Radwan St.,
Kebdet Fahmy Restaurants,Cairo.,Downtown,5 Bostan El Dekka St.,
Kebdet Farag Abou Khaled,Alexandria.,El gomrok,32 El Sayed Mohamed Korayem St.,
Kebdet Mazagangy,Cairo.,Hadayek helwan,"4 Totongy St., El Hoda City",
Kebdet Sayed,Kaliobeya. See All Branches❯,Shoubra el khaymah,"Gamal Abdel Nasser St., Off Ahmed Orabi St.",
Kefak Restaurant For See Food,Cairo.,Nasr city,10 B El Mabaoutheen Bldgs El Taqqa St.,
Kenooz Restaurant,Siwa oasis.,Siwa oasis,"El Saboukh El Tahtany St. El Souk Sq., SIWA OASIS",
Khair Allah Restaurant,Giza.,El haram,67 Abdel Rahim Abbas St.,
Khair Zaman Restaurant,Cairo.,El khalifa,25 El Qalaa St.,
Khairat El Sham Restaurant,Kaliobeya.,Obour city,"Mahaleya 6, , 1St District",
Khaled El Sharqawy Restaurant,Cairo.,Ain shams el gharbeya,14 Kasr Fahmy St.,
Khaled Hazzo Restaurant,Giza.,Imbaba,"2 Abou Rayya St., El Monira El Sharqeya",
Khaled Restaurant,El sharkeya.,Abou kebeir,El Tahrir St.,
Khaltabeeta Restaurant,Giza.,El moneeb,24 El Magzar El Aly St.,
Khaltabita Fe El Tasa,Giza.,6th of october,"2nd Neighbourhood, District 12, Rawdet Zayed Compound, El Sheikh Zayed",
Khamsa Iskandarany,Damietta.,Damietta,"49 Teraet El Shoaraa St., El Shoaraa District",
Kharisto Restaurant,Giza.,Faisal,"65 Manshaet El Bakary St., Manshaet El Bakary, El Mariouteya",
King Mariout Restaurant,Alexandria.,King mariout,5 El Pharaana St. Off Borg El Arab Rd.,
Kish Malek Restaurant,El sharkeya.,10th of ramadan,46 10th Neighbourhood,
Koftet Rashid,Alexandria.,Sidi beshr bahary,26 Mahmoud El Essawy St.,
Kok's Cafe & Restaurant,Cairo. See All Branches❯,Madinty,Talaat Mostafa Rd.,
Kom El Dekka Restaurant,Cairo.,Nasr city,"7 A Arab Organization For Industrialization Bldgs., ",
Koshary Abou Tarek,Cairo. See All Branches❯,Downtown,"16 Maarouf St., Intersection Of Champillion St.",
Koshary Al Maydan,Giza.,6th of october,"2 City Stars Towers, 2nd Service Spine St., 10th District",
Koshary El Pasha,Giza.,El moneeb,139 Gamal Abdel Nasser St.,
Koshary El Tayeb,Alexandria.,Raml station,64 safeya zaghloul st.,
Koshary El Zaeem,Cairo.,Ezbet el nakhl,"1 Hamed Abdou St., Off Mohamed Gad Hassanen St.",
Koshary Hend,Cairo.,Saray el koba,20 Ibn Sendar St.,
Koshary Sokhn Fe Sokhn,Cairo.,El tebeen,El Wasat St.,
Kozbra Restaurant,El gharbeya.,Tanta,Hassan Ibn Thabet St.,
L Mum Restaurant,Port said.,El arab,El Kaliobeya & El Hamidy St.,
La Fiesta Loca,Cairo. See All Branches❯,Heliopolis,"El Moushir Ahmed Ismail St., Sheraton Bldgs.",N/A
La Gallete El Madyafa,Alexandria.,El ibrahimeya,48 Omar Saafan St.,
La Maison Crepe,Giza.,Faisal,22 Kaabish St.,
La Noche Cafe,Alexandria.,Sidi gaber,El Guish Rd.,
Labash Restaurant,Cairo. See All Branches❯,New cairo,"El Obour St., Off El Tesaeen St., 5th Compound",
Lahlouba,Giza.,Mohandeseen,88 El Mashroua St. Off Sudan St.,
Laialy El Helmeya Restaurant,North coast.,Alex. matrouh desert rd.,"Km 41, ",
Laialy lebanon,Cairo.,Heliopolis,"41 Saqr Qoraish Bldgs., , Sheraton Bldgs.",
Laily El Hussein Restaurant,Cairo.,Heliopolis,"91 Othman Ibn Affan St., Triumph Square",
Lamees Restaurant And Cafe,Giza.,Mohandeseen,32 Wadi El Nil St.,
Lamet Tawagen,Cairo.,Maadi,"El Khamseen St., Zahraa El Maadi",
Layalina Restaurant,Sharm El Sheikh.,Naama Bay,El Mashaya,
Layaly El Sham Restaurant,Kaliobeya.,Qalyub,"El Rashah St., Tanan Village",
Le Caire,Cairo.,Heliopolis,"18 El Shaheed Mohamed Abdel Hady St. Extension Of Nabil El Waqqad St., Ard El Golf",
Le Dome,Sharm El Sheikh.,Naama Bay,El Salam Rd.,
Le Pacha 1901 Restaurant,Hurghada.,Downtown,El Fondok St.,
Le Tarbouche,Cairo.,Zamalek,4 Saray El Gezirah St.,
Lessa Faker,Cairo.,Zamalek,9 A Saray El Gezirah St.,
Limozin Restaurant,"Cairo.
See All Branches
❯",Mokattam,"4 Rd. 11, Off Rd. 9",
Liver & Brain Abou Mohamed,Giza.,Kerdasa,"40 Teraet Berak El Khayyam Rd., Kafr Berak El Khayyam",
Lolowa Restaurant & Cafe,Alexandria.,Miami,2 Mostafa Naguib St.,
Loly Cocktail,Alexandria.,El gomrok,1 26Th Of July Rd.,
Loqma & Daqqa,Alexandria. See All Branches❯,Semouha,Rd. 5 Off El Nasr St.,
Loqma & Tableya,El dakahleya.,El mansoura,El Gomhoureya St.,
Loqma Haneya Restaurant,Giza.,Auseem,"2 Abnaa El Dowaina St., Bashteel Village",
Loqma X Saree3,Alexandria.,Sidi gaber,El Guish Rd.,
Loqmaa Haniaa,Cairo.,New cairo,", .",
Loualoaat El Salam Restaurant,Kaliobeya.,Shoubra el khaymah,23 El Teraa El Begameya St.,
Loula's Restaurant,Cairo.,El sherouk city,6th Plot3rd District,
Lucinda Oasis For Bedouin Food,Cairo.,Heliopolis,"El Saaqah St., Off El Thawra St., Almaza",
Luka Doma Cafe & Lounge,Cairo.,Heliopolis,"4 Galal El Din El Desouqy St., Almaza",
Luuma,Cairo.,Zamalek,Abou El Feda St.,
Luxor Restaurant,Sharm el sheikh.,White knight bay,Soho Square,
Ma7ashy W Enta Mashy Restaurant,Giza.,Giza,138 El Nil St.,
Maadi Meals Kitchen,Cairo.,Maadi,", ., Zahraa El Maadi",
Maakolat Baitk,Cairo.,Maadi,"2 Othman Towers - Above Intermediate Level, Corniche El Nil",
Maakolat Baitk Restaurant,Cairo.,El malek el saleh,"71 Hassan Gouda St., Ard El Gamaeya",
Maakoulat Balady Restaurant,Giza.,Imbaba,"2 Mourad Abdel Rahim St., El Amal City",
Macchiato Coffee Egypt,Alexandria.,Sidi Gaber,El Guish Rd.,
Mado's Kitchen,Cairo.,Maadi,"7 B Rd. 205 Intersection Of Rd. 253, Degla",
Maestro Cafe & Restaurant,Cairo.,Nasr City,Youssef Abbas St.,
Magdy El Monoufy Restaurant,Cairo.,Heliopolis,"5 Hussein El Marsafy St., Safir Square",
Malek El Hawawshy,Giza.,Mohandeseen,"8 Petroleum Bldgs. Abdel Moneim Sanad St., Off El Rashid St. - Galal El Din El Hamamsy St. Previously",
Malek El Hawawshy Restaurant,Giza.,Auseem,"6 El Horreya St., Bashtil Village",
Malek El Kebda,Cairo.,El Zawia El Hamra,Teraet El Dakar St.,
Malek El Kebda,Cairo.,Shoubra,195 El Teraa El Boulaqeya St.,
Malek El Kebda,Cairo.,Bab El Khalk,59 El Qalaa St.,
Malek El Kebda,Cairo.,El Bassateen,Faida Kamel St.,
Malek El Kebda,Cairo.,Maadi,"Abou El Wafa St., El Arab",
Malek El Kebda,Kaliobeya.,Shoubra El Khaymah,El Teraa El Boulaqeya St.,
Malek El Kebda Restaurant,Cairo.,El Manyal,14 Said Zou El Foqqar St.,
Malek El Kebda Restaurant,Cairo.,Gesr El Suez,45 El Horreya St.,
Malek El Kebda Restaurant,Giza.,6th Of October,"El Kafrawy Spine, 2nd District",
Malek El Kebda Restaurant,Giza.,El Moneeb,"1 Omar Shaikhoun St., Off Gesr El Konaysa St.",
Malek El Kebda Take Away,Cairo.,Mokattam,5 Rd. 9,
Malk Al Baharez Restaurant,Cairo.,Nasr City,"7 El Mothallath Bldgs., Shinzo Abe Spine",
Mama,"Cairo.
See All Branches
❯",Nasr City,Omar Ibn El Khattab St.,
Mama Noura Restaurant,El Sharkeya.,El Zagazig,36 Omar Ibn El Khattab St.,
Manar El Islam Restaurant,Kaliobeya.,Shoubra El Khaymah,24 El Thawra St.,
Maqly,Giza.,Ard el lewaa,1 Aly Ibn Abi Taleb St. Off El Moatamedeya St.,
Mariam & Jana Restaurant,Cairo.,Maadi,"42 Beacho American City Bldgs. El Mohandes Abdel Moneim St., Phase 1, Zahraa El Maadi",
Marmar Restaurant,Giza.,6th of october,"Waslet Dahshour Rd., El Sheikh Zayed",
Mashnka7,Cairo.,Helwan,"Youssef St., Intersection Of Borhan St.",
Mashroo Mataam,Cairo.,Kasr el ainy,12 Safeya Zaghloul St.,
Mashwka,Kaliobeya.,Shebein el kanater,Shebin El Qanater Toukh Rd.,
Masmat El Hanash,Cairo.,El maasara,88 Teraet El Khashab St.,
Masmat El Maalem,Giza.,Imbaba,"Omar Ibn El Khattab St., Extension Of El Bouhy St.",
Masmat El Prince,Cairo.,Ezbet el nakhl,20 Ain Shams St.,
Masmat Abou Abdou,Cairo.,El marg,43 Fathy El Abasery St.,
Masmat Abou Ahmed,Cairo.,Ain shams el sharkeya,"1, El Ghobashy Alley",
Masmat Abou El Zain,Cairo.,El zawia el hamra,51 Talaat Harb St.,
Masmat Abou Hassan,Cairo.,El zawia el hamra,4 Teraet El Gallad St.,
Masmat Abou Naqaya,Giza.,Giza,3 Mahmoud Fahmy El Noqrashy St.,
Masmat Abu Trika,Giza.,Imbaba,80 El Qawmeya El Arabeya St.,
Masmat Adel,El monofeya.,El bagour,67 Kamal El Shazly St. - El Guish St. Previously,
Masmat Ahbab El Sayeda,Giza.,El haram,"64 El Thalathiny St., El Omraneya El Gharbeya",
Masmat Ahbab El Sayeda,Giza.,Boulak el dakrour,"40 Teraet Zeineen St., Zeineen",
Masmat Ahbab El Sayeda,Giza.,Boulak el dakrour,"2 El Eshreen St., El Shorbagy",
Masmat Ala Barket Ellah,Kaliobeya.,Shoubra el khaymah,Cairo Alex Agricultural Rd.,
Masmat Am Shakshak,Giza.,Boulak el dakrour,"27 Teraet Abdel Aal 1 St., Saft El Laban",
Masmat Anwar El Hussein,Giza.,Boulak el dakrour,128 Teraet Zeineen St.,
Masmat Atef Farahat,Giza.,Giza,249 Saad Zaghloul St.,
Masmat Awlad El Sheikh Dalaa Kershak,Cairo.,Fom el khalig,13 Fom El Khalig Sq.,
Masmat Awlad Gamal,Cairo.,El marg,38 El Teraa El Saltouheya St.,
Masmat Bab El Khalq,Cairo.,El marg,5 El Sheikh Mansour St.,
Masmat Bab El Sheareya,Cairo.,Ain shams,"94 El Eshreen St., Zahraa Ain Shams",
Masmat Baharez,Giza.,Mohandeseen,88 Abdel Moneim El Sawy St. Off Sudan St.,
Masmat Baraket El Mostafa,Cairo.,Ain shams el gharbeya,418 Teraet El Gabal St.,
Masmat Bayoumi Sons,Cairo.,Ain shams el gharbeya,33 Mohamed Hegazy St.,
Masmat Bibo El Ahram,Giza.,Giza,480 El Ahram St.,
Masmat Body,Giza.,Kerdasa,69 Rashah Abdellah St.,
Masmat El Abeet,Cairo.,El zawia el hamra,26 Teraet El Gallad St.,
Masmat El Abiet,Cairo.,Ezbet el nakhl,52 Petrol St.,
Masmat El Alfy,Kaliobeya.,El khosous,20 Wahid Youssef St.,
Masmat El Ashry,Giza.,El baragil,El Baragil Rd.,
Masmat El Balad,Kafr el sheikh.,Sidi salem,23rd Of July St.,
Masmat El Balady Sons,Cairo.,Nasr city,"9 A El Dobbat Bldgs., , 6th District",
Masmat El Baraka,Cairo.,El marg,145 El Markaz El Egtemaey St.,
Masmat El Baraka,Cairo.,Helwan,26 Sherif St.,
Masmat El Baraka,Giza.,Giza,49 Rabea El Gizy St.,
Masmat El Berdesy,Giza.,El haram,"189 W, Hadaeq El Ahram",
Masmat El Doa El Shared,Cairo.,Gesr el suez,"17, El Tablawy Alley, Arab Gesr El Suez",
Masmat El Fakahany,Giza.,Imbaba,"18 Sayed Mohamed St., Ezbet El Saida",
Masmat El Ghoul,Cairo.,El zawia el hamra,"27 El Zohour St., El Qosayareen",
Masmat El Habayab,Cairo.,El maasara,15 El Mahatta St.,
Masmat El Haj Fathy El Qaliouby,Cairo.,Shoubra,40 Masarra St.,
Masmat El Hareef & El Tayeb,Cairo.,Shoubra,21 Khattab Alley,
Masmat El Hassan & El Hussein,Giza.,Boulak el dakrour,50 Teraet Zeineen St.,
Masmat El Houda,Cairo.,New cairo,"14 6th Neighbourhood, 1st Compound",
Masmat El Hussein,Giza.,Boulak el dakrour,7 Nahya St.,
Masmat El Husseiny,Giza.,Boulak el dakrour,22 Darwish El Baragily St.,
Masmat El Lewaa,Giza.,Ard el lewaa,1 El Moatamedeya St.,
Masmat El Madina El Monawara,El monofeya.,El shohadaa,Gorn Ads St.,
Masmat El Menoufy,Giza.,Boulak el dakrour,12 ibrahim emam st.,
Masmat El Moalem,Giza.,El haram,"39 El Taamir St., El Omraneya El Gharbeya",
Masmat El Motawakkel Ala Allah,El monofeya.,Ashmoun,77 Mohamed Mohsen Hamad St.,
Masmat El Muslim El Goaweny,Suez.,El ghareeb,El Khedr St.,
Masmat El Omda,Giza.,El haram,"El Thalathiny St., intersection Of Sayed Hussein El Prince St., El Omraneya El Gharbeya",
Masmat El Prince,Cairo.,El marg,168 Abdullah El Refaey St.,
Masmat El Prince,Cairo.,El zaytoun,280 Teraet El Gabal St.,
Masmat El Rayan,Giza.,Faisal,1 Atef Abou El Enein St.,
Masmat El Reda,Cairo.,Hadayek helwan,97 El Guish St.,
Masmat El Safa & El Marwa,Cairo.,Shoubra,30 Ahmed Badawy St.,
Masmat El Salam,Giza.,Faisal,"6 El Shohadaa St., Off El Tayseer St.",
Masmat El Sayeda Zeinab,Giza.,Faisal,"1 Ibrahim Bahr St., Off El Safa & El Marwa St.",
Masmat El Seoudy,Suez.,El Nemsa,El Nemsa St.,
Masmat El Shaab,Cairo.,Nasr City,5 1st Of May Bldgs. El Nasr Rd.,
Masmat El Shaab,Giza.,El Haram,"Mekka Tower, Othman Moharram St., El Talbeya",
Masmat El Sheikh,Cairo.,El Maasara,60 Teraet El Khashab St.,
